pi_type_id, pi_name, pi_guid, pi_readonly, pi_text, pi_numeric, pi_storage_type, pi_group_name, pi_display_unit_type, pi_parameter_type
ParamRefUniqueID_fcc1875f-518e-4396-97bb-fbbbc3d8d531-006f421d	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_fcc1875f-518e-4396-97bb-fbbbc3d8d531-006f421d	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_fcc1875f-518e-4396-97bb-fbbbc3d8d531-006f421e	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_fcc1875f-518e-4396-97bb-fbbbc3d8d531-006f421e	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_fcc1875f-518e-4396-97bb-fbbbc3d8d531-006f421e	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_fcc1875f-518e-4396-97bb-fbbbc3d8d531-006f421f	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_fcc1875f-518e-4396-97bb-fbbbc3d8d531-006f421f	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_fcc1875f-518e-4396-97bb-fbbbc3d8d531-006f421f	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_fcc1875f-518e-4396-97bb-fbbbc3d8d531-006f4220	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_fcc1875f-518e-4396-97bb-fbbbc3d8d531-006f4220	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_fcc1875f-518e-4396-97bb-fbbbc3d8d531-006f4220	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703109	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703109	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703109	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070310a	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070310a	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070310a	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703121	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703121	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703121	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703122	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703122	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703122	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703123	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703123	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703123	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703124	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703124	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703124	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703125	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703125	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703125	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703126	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703126	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703126	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703127	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703127	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703127	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703128	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703128	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703128	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703137	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703137	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703137	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703138	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703138	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703138	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703139	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703139	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703139	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313a	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313a	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313a	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313b	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313b	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313b	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313c	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313c	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313c	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313d	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313d	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313d	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313e	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313e	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070313e	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070317c	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070317c	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070317c	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070317d	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070317d	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070317d	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070317e	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070317e	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070317e	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070317f	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070317f	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-0070317f	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b43	"Comments"		0	NULL		String	Identity Data	""	"Text"
